"Zip.Code","Incidence","Year"
95948,46.7,2013
95954,64.2,2013
95961,45.1,2013
95963,37.1,2013
95965,80.5,2013
95966,104.6,2013
95969,46.8,2013
95973,38.1,2013
95987,84.5,2013
95991,31.8,2013
95993,21.5,2013
96001,80,2013
96002,66.3,2013
96003,70,2013
96007,66.2,2013
96019,61.4,2013
96021,42.6,2013
96022,89.1,2013
96080,72.6,2013
96097,76.6,2013
96130,68.4,2013
96150,20.2,2013
93619,51.6,2014
93620,114.8,2014
93622,154.7,2014
93625,155.4,2014
93630,114.5,2014
93631,80.6,2014
93635,139.9,2014
93636,103.7,2014
93637,162.8,2014
93638,153.6,2014
93640,139.2,2014
93646,121.1,2014
93647,76,2014
93648,185,2014
93654,143,2014
93656,104.4,2014
93657,136.5,2014
93660,104.5,2014
93662,224.1,2014
93701,201.3,2014
93702,174.8,2014
93703,238,2014
93704,177.9,2014
93705,266,2014
93706,223,2014
93710,175.6,2014
93711,112.9,2014
93720,78.7,2014
93722,172.2,2014
93723,83.8,2014
93725,192.5,2014
93726,169.7,2014
93727,137.8,2014
93728,193.8,2014
93730,39.7,2014
93901,117.5,2014
93905,112.8,2014
93906,106.5,2014
93907,91.2,2014
93926,55.6,2014
93927,79.5,2014
93930,67.4,2014
93933,86.2,2014
93940,26,2014
93950,80.7,2014
93955,65.1,2014
93960,66.6,2014
94002,26.2,2014
94010,24,2014
94014,76.7,2014
94015,74.4,2014
94019,58.4,2014
94025,43.1,2014
94030,66.7,2014
94043,29.7,2014
94044,65.4,2014
94061,56.8,2014
94062,37.5,2014
94063,89.8,2014
94066,76.7,2014
94070,17,2014
94080,75.5,2014
94085,40.8,2014
94086,26.1,2014
94087,16.8,2014
94089,74.9,2014
94102,112.1,2014
94103,134.7,2014
94107,103.1,2014
94109,52,2014
94110,78.8,2014
94112,90.5,2014
94114,48.9,2014
94115,86,2014
94116,49.6,2014
94117,58.5,2014
94118,34.2,2014
94121,46,2014
94122,57.1,2014
94124,151.5,2014
94131,57.6,2014
94132,91.7,2014
94133,61.7,2014
94134,88.1,2014
94303,77.1,2014
94306,23.3,2014
94401,75.6,2014
94402,30.4,2014
94403,47.6,2014
94404,33.3,2014
94501,97.5,2014
