"Zip.Code","Incidence","Year"
93723,28.4,2013
93725,53.4,2013
93726,82.2,2013
93727,40.5,2013
93728,79.9,2013
93901,94,2013
93905,49.6,2013
93906,51.7,2013
93907,32.1,2013
93908,13.3,2013
93926,39.9,2013
93927,25.2,2013
93930,15.8,2013
93933,30.7,2013
93940,19,2013
93950,24.7,2013
93955,38.7,2013
93960,14.4,2013
94002,26.1,2013
94005,49.4,2013
94010,18.6,2013
94014,40.5,2013
94015,37.4,2013
94019,20.7,2013
94025,15.3,2013
94030,31.3,2013
94040,14.2,2013
94043,13.6,2013
94044,26.8,2013
94061,35.3,2013
94062,26.1,2013
94063,52.7,2013
94065,14.4,2013
94066,48.9,2013
94070,24.5,2013
94080,40.7,2013
94085,36.9,2013
94086,9.6,2013
94087,10.4,2013
94089,34,2013
94102,104.1,2013
94103,77.6,2013
94107,28.8,2013
94108,14.4,2013
94109,25.9,2013
94110,37,2013
94112,27,2013
94114,20.4,2013
94115,47.4,2013
94116,16.3,2013
94117,18.7,2013
94118,14.6,2013
94121,17.1,2013
94122,13.6,2013
94123,21.4,2013
94124,108,2013
94127,18.6,2013
94130,107.6,2013
94131,24.1,2013
94132,24.1,2013
94133,22.7,2013
94134,35.1,2013
94301,8.3,2013
94303,41.6,2013
94306,8.2,2013
94401,48.7,2013
94402,31.7,2013
94403,30.7,2013
94404,17.2,2013
94501,42.7,2013
94502,13.8,2013
94503,46.2,2013
94505,31.9,2013
94506,10.3,2013
94507,9,2013
94509,137,2013
94510,39.8,2013
94511,82.2,2013
94513,32.1,2013
94517,22.1,2013
94518,33.9,2013
94519,45.2,2013
94520,98.9,2013
94521,43.6,2013
94523,35,2013
94525,41,2013
94526,19.6,2013
94530,34,2013
94531,78,2013
94533,86.1,2013
94534,31.6,2013
94536,36.5,2013
94538,40.1,2013
94539,9.7,2013
94541,88.7,2013
94542,26.4,2013
94544,77.2,2013
94545,87.5,2013
94546,55.9,2013
94547,49.4,2013
94549,18.1,2013
94550,22.7,2013
94551,33.2,2013
94552,22.6,2013
94553,61.8,2013
94555,26.9,2013
94556,11,2013
94558,35.1,2013
94559,43.4,2013
94560,45.4,2013
94561,60.2,2013
94563,17,2013
94564,37.9,2013
94565,110.8,2013
94566,20.1,2013
94568,21.7,2013
94571,56.5,2013
94572,86.8,2013
94574,22.1,2013
94577,57.3,2013
94578,78,2013
94579,42.7,2013
94580,52.3,2013
94582,16.4,2013
94583,30.2,2013
94585,77.7,2013
94587,50.4,2013
94588,17.9,2013
94589,114.2,2013
94590,150.7,2013
94591,64.7,2013
94595,18.7,2013
94596,25.7,2013
94597,21,2013
94598,16.2,2013
94601,91.2,2013
94602,66.7,2013
94603,168.2,2013
94605,143.6,2013
94606,77.3,2013
94607,137,2013
94608,100.2,2013
94609,82.2,2013
94610,29.8,2013
94611,23.1,2013
94612,100.7,2013
94618,12.2,2013
94619,69.1,2013
94621,160.2,2013
94702,59.4,2013
94703,70.8,2013
94704,33.9,2013
94705,28,2013
94706,19.3,2013
94707,19.7,2013
94708,10.2,2013
94709,18.5,2013
94710,62.3,2013
94801,138,2013
94803,42.5,2013
94804,116.7,2013
94805,40.8,2013
94806,80,2013
94901,27.7,2013
94903,25.9,2013
94904,18.5,2013
94925,25.8,2013
94928,37.4,2013
94930,25.5,2013
94931,33.2,2013
94941,16.9,2013
94945,35.4,2013
94947,30.5,2013
94949,38,2013
94952,26.8,2013
94954,35.3,2013
94960,12.3,2013
94965,24.3,2013
95003,18.5,2013
95006,17.4,2013
95008,22,2013
95010,45.9,2013
95012,59.7,2013
95014,8.4,2013
95019,48.4,2013
95020,45.3,2013
95023,46.8,2013
95030,11.8,2013
95032,17.9,2013
95033,17.8,2013
95035,18,2013
95037,25.1,2013
95046,44.6,2013
95050,21.1,2013
95051,14.9,2013
95054,19.2,2013
95060,30.8,2013
95062,25.4,2013
95065,30.8,2013
95066,23.7,2013
95070,10.3,2013
95073,30.8,2013
95076,39.2,2013
95110,24.8,2013
95111,43.8,2013
95112,54,2013
95116,55.2,2013
95117,29.8,2013
95118,34.2,2013
95119,31.5,2013
95120,16.9,2013
95121,32,2013
95122,49.5,2013
95123,41.5,2013
95124,20.4,2013
95125,32.7,2013
95126,39.7,2013
95127,41.4,2013
95128,46,2013
95129,15.1,2013
95130,26.3,2013
95131,27,2013
95132,19.9,2013
95133,26,2013
95134,16.5,2013
95135,15.8,2013
95136,26,2013
95138,17.7,2013
95139,35.9,2013
95148,31,2013
95202,248,2013
95203,99.7,2013
95204,62.1,2013
95205,90.7,2013
95206,68.7,2013
95207,70.7,2013
95209,48.9,2013
95210,80.8,2013
95212,30.6,2013
95215,50.3,2013
95219,33,2013
95231,62.2,2013
95240,35.5,2013
95242,18.8,2013
95249,134.3,2013
95252,44.2,2013
95258,43.8,2013
95301,47,2013
95304,43.1,2013
95307,34.8,2013
95315,28.3,2013
95316,38.2,2013
95320,28.5,2013
95322,42.6,2013
95326,29.7,2013
95327,38.2,2013
95328,40.9,2013
95330,65.9,2013
95334,30,2013
95336,85.9,2013
95337,52.5,2013
95338,55.4,2013
95340,120.4,2013
95341,68.9,2013
95348,64.8,2013
95350,77,2013
95351,84.1,2013
95354,72.6,2013
95355,55.2,2013
95356,39.6,2013
95357,39.4,2013
95358,55.8,2013
95360,23,2013
95361,47.1,2013
95363,24.2,2013
95365,100.1,2013
95366,43.8,2013
95367,46.9,2013
95368,41.3,2013
95370,56.9,2013
95376,96,2013
95377,42.1,2013
95380,56.7,2013
95382,28.1,2013
95383,35.8,2013
95386,44.9,2013
95388,48.7,2013
95391,37.9,2013
95401,54,2013
95403,44.5,2013
95404,44.6,2013
95405,27.4,2013
95407,58.1,2013
95409,30.6,2013
95422,111.3,2013
95423,78.1,2013
95425,19.8,2013
95436,73,2013
