"Year","Month","COUNTY","Date","NO2","O3","PM2.5"
2014,12,"Imperial",2014-12-01,21.1428571428571,29.5555555555556,63.125
2014,12,"Los Angeles",2014-12-01,29.7608695652174,25.9473684210526,51.0689655172414
2014,12,"Marin",2014-12-01,21.5,27.5,40.5
2014,12,"San Bernardino",2014-12-01,26.3529411764706,30.625,36.3636363636364
2014,12,"San Francisco",2014-12-01,33.3333333333333,25,37.3333333333333
2014,12,"San Mateo",2014-12-01,19.6666666666667,22,15.3333333333333
2014,12,"Santa Clara",2014-12-01,29,21.25,25
2014,12,"Stanislaus",2014-12-01,10.75,26.25,39.625
2014,12,"Calaveras",2014-12-01,NA,27.5,23.6666666666667
2015,1,"Imperial",2015-01-01,28.5,27.8888888888889,41.2
2015,1,"Los Angeles",2015-01-01,33.25,25.2105263157895,44.6969696969697
2015,1,"Marin",2015-01-01,33,17.25,92.3333333333333
2015,1,"San Bernardino",2015-01-01,33.7272727272727,27.9090909090909,45.9333333333333
2015,1,"San Francisco",2015-01-01,37,9,58.5
2015,1,"San Mateo",2015-01-01,28.5,20.25,58
2015,1,"Santa Clara",2015-01-01,32.4285714285714,13.6666666666667,62.4166666666667
2015,1,"Stanislaus",2015-01-01,19.6666666666667,13,86.3333333333333
2015,1,"Calaveras",2015-01-01,NA,19.3333333333333,48.5
2015,2,"Imperial",2015-02-01,31.1666666666667,37.5555555555556,40.3076923076923
2015,2,"Los Angeles",2015-02-01,32.4864864864865,37.8108108108108,56.5428571428571
2015,2,"Marin",2015-02-01,22.75,29.6666666666667,55.75
2015,2,"San Bernardino",2015-02-01,31.5714285714286,38.1290322580645,50.5833333333333
2015,2,"San Francisco",2015-02-01,28.5,22,39.3333333333333
2015,2,"San Mateo",2015-02-01,20,28,41.3333333333333
2015,2,"Santa Clara",2015-02-01,26.1666666666667,29.3333333333333,37.3
2015,2,"Stanislaus",2015-02-01,21,27.6666666666667,53.25
2015,2,"Calaveras",2015-02-01,NA,27,23.3333333333333
2015,3,"Imperial",2015-03-01,26.625,50.2727272727273,34.5714285714286
2015,3,"Los Angeles",2015-03-01,28.7674418604651,51.0487804878049,45.5384615384615
2015,3,"Marin",2015-03-01,18.6666666666667,34.6666666666667,41.5
2015,3,"San Bernardino",2015-03-01,35.88,55.2432432432432,30.8333333333333
2015,3,"San Francisco",2015-03-01,23.6666666666667,32.25,29.3333333333333
2015,3,"San Mateo",2015-03-01,24,33.25,24.25
2015,3,"Santa Clara",2015-03-01,26.8333333333333,40.3333333333333,31.7272727272727
2015,3,"Stanislaus",2015-03-01,24.6666666666667,42.8571428571429,29.375
2015,3,"Calaveras",2015-03-01,NA,41,18.3333333333333
2015,4,"Imperial",2015-04-01,9.83333333333333,54.7777777777778,41.5384615384615
2015,4,"Los Angeles",2015-04-01,27.8666666666667,65.3571428571429,40.4166666666667
2015,4,"Marin",2015-04-01,13,43,25
2015,4,"San Bernardino",2015-04-01,25.15,77.3684210526316,36.7058823529412
2015,4,"San Francisco",2015-04-01,16.3333333333333,40.6666666666667,35.5
2015,4,"San Mateo",2015-04-01,18.6666666666667,34,4.33333333333333
2015,4,"Santa Clara",2015-04-01,22.5,47.2666666666667,28.3636363636364
2015,4,"Stanislaus",2015-04-01,7.5,56.8333333333333,19.4285714285714
2015,4,"Calaveras",2015-04-01,NA,44.6666666666667,18
2015,5,"Imperial",2015-05-01,11.75,57.6,36.9166666666667
2015,5,"Los Angeles",2015-05-01,18.3829787234043,53.7380952380952,45.1951219512195
2015,5,"Marin",2015-05-01,8.5,30.3333333333333,19.5
2015,5,"San Bernardino",2015-05-01,19.4736842105263,60.1944444444444,42
2015,5,"San Francisco",2015-05-01,7.5,37,24
2015,5,"San Mateo",2015-05-01,14.5,33.6666666666667,10.75
2015,5,"Santa Clara",2015-05-01,16.5714285714286,35.6666666666667,27
2015,5,"Stanislaus",2015-05-01,16,58,21.5714285714286
2015,5,"Calaveras",2015-05-01,NA,51,17
2015,6,"Imperial",2015-06-01,24.75,62.9090909090909,46.6923076923077
